age,workclass,education_num,marital_status,occupation,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
50, Self-emp-not-inc,13, Married-civ-spouse,1, White, Male,0,0,13,1,0
38, Private,9, Divorced,2, White, Male,0,0,40,1,0
53, Private,7, Married-civ-spouse,2, Black, Male,0,0,40,1,0
28, Private,13, Married-civ-spouse,3, Black, Female,0,0,40,2,0
37, Private,14, Married-civ-spouse,1, White, Female,0,0,40,1,0
49, Private,5, Married-spouse-absent,4, Black, Female,0,0,16,3,0
52, Self-emp-not-inc,9, Married-civ-spouse,1, White, Male,0,0,45,1,1
31, Private,14, Never-married,3, White, Female,14084,0,50,1,1
42, Private,13, Married-civ-spouse,1, White, Male,5178,0,40,1,1
37, Private,10, Married-civ-spouse,1, Black, Male,0,0,80,1,1
30, State-gov,13, Married-civ-spouse,3, Asian-Pac-Islander, Male,0,0,40,4,1
23, Private,13, Never-married,5, White, Female,0,0,30,1,0
32, Private,12, Never-married,6, Black, Male,0,0,50,1,0
34, Private,4, Married-civ-spouse,7, Amer-Indian-Eskimo, Male,0,0,45,5,0
25, Self-emp-not-inc,9, Never-married,8, White, Male,0,0,35,1,0
32, Private,9, Never-married,9, White, Male,0,0,40,1,0
38, Private,7, Married-civ-spouse,6, White, Male,0,0,50,1,0
43, Self-emp-not-inc,14, Divorced,1, White, Female,0,0,45,1,1
40, Private,16, Married-civ-spouse,3, White, Male,0,0,60,1,1
54, Private,9, Separated,4, Black, Female,0,0,20,1,0
35, Federal-gov,5, Married-civ-spouse,8, Black, Male,0,0,40,1,0
43, Private,7, Married-civ-spouse,7, White, Male,0,2042,40,1,0
59, Private,9, Divorced,10, White, Female,0,0,40,1,0
56, Local-gov,13, Married-civ-spouse,10, White, Male,0,0,40,1,1
19, Private,9, Never-married,11, White, Male,0,0,40,1,0
39, Private,9, Divorced,1, White, Male,0,0,80,1,0
49, Private,9, Married-civ-spouse,11, White, Male,0,0,40,1,0
23, Local-gov,12, Never-married,12, White, Male,0,0,52,1,0
20, Private,10, Never-married,6, Black, Male,0,0,44,1,0
45, Private,13, Divorced,1, White, Male,0,1408,40,1,0
30, Federal-gov,10, Married-civ-spouse,5, White, Male,0,0,40,1,0
22, State-gov,10, Married-civ-spouse,4, Black, Male,0,0,15,1,0
48, Private,7, Never-married,9, White, Male,0,0,40,6,0
21, Private,10, Never-married,9, White, Male,0,0,40,1,0
19, Private,9, Married-AF-spouse,5, White, Female,0,0,25,1,0
48, Self-emp-not-inc,12, Married-civ-spouse,3, White, Male,0,0,40,1,0
31, Private,5, Married-civ-spouse,9, White, Male,0,0,43,1,0
53, Self-emp-not-inc,13, Married-civ-spouse,3, White, Male,0,0,40,1,0
24, Private,13, Married-civ-spouse,10, White, Male,0,0,50,1,0
49, Private,9, Separated,5, White, Female,0,0,40,1,0
25, Private,9, Never-married,2, White, Male,0,0,35,1,0
57, Federal-gov,13, Married-civ-spouse,3, Black, Male,0,0,40,1,1
53, Private,9, Married-civ-spouse,9, White, Male,0,0,38,1,0
44, Private,14, Divorced,1, White, Female,0,0,40,1,0
41, State-gov,11, Married-civ-spouse,11, White, Male,0,0,40,1,0
29, Private,11, Never-married,3, White, Male,0,0,43,1,0
25, Private,10, Married-civ-spouse,1, Other, Female,0,0,40,1,0
47, Private,15, Married-civ-spouse,3, White, Female,0,1902,60,7,1
50, Federal-gov,13, Divorced,1, White, Male,0,0,55,1,1
47, Self-emp-inc,9, Divorced,1, White, Male,0,0,60,1,0
43, Private,10, Married-civ-spouse,10, White, Male,0,0,40,1,1
46, Private,3, Married-civ-spouse,9, White, Male,0,0,40,5,0
35, Private,11, Married-civ-spouse,4, White, Male,0,0,40,6,0
41, Private,9, Married-civ-spouse,5, White, Male,0,0,48,1,0
30, Private,9, Married-civ-spouse,9, White, Male,5013,0,40,1,0
30, Private,13, Married-civ-spouse,6, White, Male,2407,0,40,1,0
48, Private,9, Married-civ-spouse,7, White, Male,0,0,40,1,0
42, Private,16, Married-civ-spouse,3, White, Male,0,0,45,1,1
29, Private,10, Divorced,10, White, Male,0,0,58,1,0
36, Private,9, Married-civ-spouse,11, White, Male,0,0,40,1,0
28, Private,10, Divorced,5, White, Female,0,0,40,1,0
53, Private,9, Married-civ-spouse,5, White, Female,0,0,40,1,1
49, Self-emp-inc,10, Married-civ-spouse,1, White, Male,0,0,50,1,1
19, Private,10, Never-married,3, White, Male,0,0,32,1,0
31, Private,13, Separated,6, Black, Female,0,0,40,1,0
29, Self-emp-not-inc,13, Married-civ-spouse,6, White, Male,0,0,70,1,1
23, Private,10, Never-married,9, White, Male,0,0,40,1,0
79, Private,10, Married-civ-spouse,3, White, Male,0,0,20,1,0
27, Private,9, Never-married,4, White, Male,0,0,40,5,0
40, Private,12, Married-civ-spouse,5, White, Male,0,0,40,1,0
18, Private,7, Never-married,4, White, Female,0,0,22,1,0
31, Local-gov,4, Married-civ-spouse,8, White, Male,0,0,40,1,0
18, Private,9, Never-married,6, White, Male,0,0,30,1,0
52, Private,13, Married-civ-spouse,4, White, Male,0,0,40,2,0
46, Private,9, Married-civ-spouse,4, White, Female,0,0,40,1,0
59, Private,9, Married-civ-spouse,6, White, Male,0,0,48,1,0
44, Private,9, Divorced,11, White, Female,14344,0,40,1,1
53, Private,9, Divorced,6, White, Female,0,0,35,1,0
49, Local-gov,9, Married-civ-spouse,12, White, Male,0,0,40,1,1
33, Private,14, Married-civ-spouse,3, White, Male,0,0,50,1,0
30, Private,5, Never-married,6, White, Male,0,0,40,1,0
43, Federal-gov,16, Never-married,3, White, Female,0,0,50,1,1
57, Private,11, Married-civ-spouse,3, White, Male,0,0,40,1,0
37, Private,10, Divorced,11, White, Female,0,0,40,1,0
28, Private,10, Divorced,9, Black, Female,0,0,25,1,0
34, Local-gov,13, Married-civ-spouse,12, White, Male,0,0,40,1,1
29, Local-gov,10, Never-married,2, White, Male,0,0,50,1,0
