age,workclass,education_num,marital_status,occupation,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
43, Private,13, Married-civ-spouse,1, Asian-Pac-Islander, Male,0,0,50,1,1
33, Private,9, Married-civ-spouse,7, White, Male,0,0,55,1,0
40, Federal-gov,9, Divorced,5, White, Female,0,0,22,1,0
25, Private,13, Never-married,2, White, Male,0,0,40,1,0
24, Private,10, Married-civ-spouse,5, White, Male,7298,0,40,1,1
44, Private,10, Divorced,5, White, Female,0,0,40,1,0
49, Federal-gov,10, Divorced,1, White, Female,0,0,50,1,0
57, Federal-gov,10, Married-civ-spouse,5, White, Male,0,0,40,1,1
29, Private,9, Married-spouse-absent,10, Black, Male,0,0,40,1,0
39, Private,11, Married-civ-spouse,4, White, Male,0,0,40,1,0
31, Private,10, Never-married,11, White, Male,0,0,46,1,0
44, Private,12, Married-civ-spouse,11, White, Male,0,0,40,1,1
37, Private,14, Married-civ-spouse,3, White, Male,0,0,50,1,1
44, Private,9, Married-civ-spouse,6, White, Female,0,0,40,1,1
23, Private,4, Married-civ-spouse,7, White, Male,0,0,32,1,0
58, Private,9, Married-civ-spouse,11, White, Male,0,0,40,1,1
28, Private,9, Married-civ-spouse,1, White, Female,0,0,45,1,1
46, Private,9, Divorced,5, White, Female,0,0,40,1,0
43, Private,10, Married-civ-spouse,12, Other, Male,0,0,32,1,0
31, Private,13, Married-civ-spouse,5, White, Female,0,0,40,1,1
29, Private,9, Never-married,1, Asian-Pac-Islander, Female,0,0,40,1,0
29, Private,13, Married-civ-spouse,3, White, Female,0,1902,50,1,1
27, Private,8, Never-married,7, White, Male,0,0,40,1,0
45, Private,13, Married-civ-spouse,3, White, Male,0,0,50,1,1
27, Private,13, Married-civ-spouse,6, White, Male,0,0,60,1,1
42, Private,13, Married-civ-spouse,1, White, Male,0,0,40,1,1
17, Private,5, Never-married,4, White, Female,0,0,20,1,0
29, Private,9, Married-civ-spouse,7, Other, Male,0,0,55,1,0
50, Private,13, Divorced,3, White, Female,0,0,45,1,0
49, Private,13, Married-civ-spouse,6, White, Male,0,0,50,1,1
35, Private,9, Divorced,7, White, Male,0,0,60,1,0
29, Private,14, Never-married,6, White, Male,0,0,50,1,1
31, Private,13, Never-married,6, White, Male,4101,0,50,1,0
48, Private,10, Widowed,1, Black, Female,0,1669,38,1,0
26, Private,13, Never-married,5, White, Female,0,0,40,1,0
41, Private,13, Divorced,4, White, Male,0,0,37,1,0
49, Private,9, Married-civ-spouse,11, White, Male,0,0,40,1,1
51, Self-emp-not-inc,9, Divorced,1, White, Female,99999,0,35,1,1
36, Private,9, Married-civ-spouse,11, White, Male,0,0,40,1,0
48, Private,14, Married-civ-spouse,3, White, Male,0,0,40,23,1
28, Private,13, Never-married,1, White, Male,0,0,50,1,1
27, Private,9, Married-civ-spouse,6, White, Female,3464,0,40,1,0
42, Federal-gov,9, Divorced,5, Black, Female,0,0,40,1,0
21, Private,10, Never-married,4, White, Male,0,0,35,26,0
39, Private,13, Married-civ-spouse,3, White, Male,0,0,40,1,1
38, Local-gov,14, Never-married,3, White, Male,0,0,43,1,0
46, Self-emp-inc,14, Married-civ-spouse,6, White, Male,0,0,50,1,1
45, Private,9, Never-married,4, White, Female,0,0,40,1,0
32, Private,2, Never-married,11, White, Male,3674,0,40,25,0
38, Self-emp-not-inc,13, Married-civ-spouse,3, White, Male,0,0,70,1,0
30, Private,9, Married-civ-spouse,11, White, Male,0,0,40,10,0
31, Private,10, Married-civ-spouse,1, White, Male,0,0,50,3,1
43, Federal-gov,15, Married-civ-spouse,3, Asian-Pac-Islander, Male,0,0,50,4,1
54, Private,9, Married-civ-spouse,6, White, Male,0,0,40,1,0
24, Federal-gov,10, Never-married,5, Black, Female,0,0,40,1,0
40, Local-gov,9, Never-married,5, Black, Female,0,0,35,1,0
29, Private,9, Married-civ-spouse,9, White, Male,0,0,40,1,0
34, Private,9, Married-civ-spouse,2, White, Male,0,0,70,1,0
50, Self-emp-not-inc,9, Married-civ-spouse,8, White, Male,0,2051,20,1,0
33, Private,13, Married-civ-spouse,3, White, Male,3103,0,47,1,1
21, Private,10, Never-married,6, White, Female,0,0,15,1,0
39, Private,6, Divorced,4, White, Female,0,0,60,1,0
28, Private,10, Never-married,5, White, Female,0,0,40,1,0
28, Self-emp-inc,13, Married-civ-spouse,1, White, Male,0,0,60,1,1
40, Local-gov,11, Never-married,1, Amer-Indian-Eskimo, Female,0,0,40,1,0
23, Private,9, Never-married,6, White, Male,0,0,40,1,0
28, Private,10, Never-married,9, White, Male,0,0,42,1,0
36, Private,13, Married-civ-spouse,6, White, Male,0,0,40,1,1
38, Private,12, Married-civ-spouse,1, White, Male,0,0,40,1,1
37, Self-emp-not-inc,9, Married-civ-spouse,10, White, Male,0,0,30,1,0
61, Private,7, Married-civ-spouse,4, White, Male,0,0,40,1,1
46, State-gov,9, Never-married,7, Black, Male,0,0,40,1,0
68, Private,9, Never-married,6, White, Female,0,0,40,1,0
74, Private,2, Widowed,14, Black, Female,0,0,15,1,0
26, Private,10, Divorced,5, White, Female,0,0,40,1,0
23, Private,11, Never-married,9, White, Male,0,0,40,1,0
43, Private,10, Married-civ-spouse,3, White, Female,0,1887,50,1,1
49, Private,9, Divorced,9, Black, Male,0,0,40,1,0
42, Private,7, Married-civ-spouse,4, White, Female,0,0,40,1,0
36, State-gov,14, Never-married,3, White, Female,0,0,40,1,0
73, Federal-gov,10, Widowed,10, White, Female,3273,0,40,1,0
32, Private,10, Married-civ-spouse,8, White, Male,0,0,60,1,0
64, Private,9, Married-civ-spouse,12, White, Male,0,0,40,1,0
62, Local-gov,9, Widowed,4, White, Female,0,0,18,1,0
29, Self-emp-not-inc,9, Never-married,8, White, Male,0,0,45,1,0
41, Local-gov,11, Divorced,3, White, Female,0,0,40,1,0
33, Private,15, Never-married,3, White, Female,0,0,50,1,1
42, Private,13, Married-civ-spouse,3, Asian-Pac-Islander, Female,0,0,27,19,1
29, Local-gov,13, Married-civ-spouse,1, Black, Male,0,0,40,1,1
30, Private,16, Married-civ-spouse,3, White, Male,5178,0,75,1,1
27, Private,10, Married-civ-spouse,11, White, Male,0,0,40,1,0
35, Private,9, Never-married,4, Black, Female,0,0,40,1,0
48, Private,14, Married-civ-spouse,3, White, Male,0,0,40,1,1
45, Private,12, Widowed,6, White, Female,0,0,40,2,0
26, Private,13, Never-married,3, White, Male,0,0,40,1,0
59, Private,10, Married-civ-spouse,5, White, Female,0,0,40,1,1
40, Private,9, Separated,7, Black, Female,0,0,40,1,0
28, Private,10, Married-civ-spouse,11, Amer-Indian-Eskimo, Male,0,0,60,1,0
25, Private,9, Never-married,2, Black, Female,0,0,25,1,0
45, Private,2, Married-civ-spouse,9, White, Male,0,0,40,5,0
51, Local-gov,15, Never-married,3, White, Male,3325,0,40,1,0
34, Private,13, Married-civ-spouse,1, White, Male,0,0,45,1,0
26, Private,9, Married-civ-spouse,12, White, Male,0,0,40,1,0
36, Private,11, Divorced,11, White, Male,0,0,40,1,0
23, Private,5, Never-married,2, Black, Male,0,0,36,1,0
62, Self-emp-inc,9, Divorced,1, Black, Male,0,0,40,1,0
27, Private,12, Never-married,6, White, Male,0,0,40,1,0
49, Private,14, Married-civ-spouse,6, White, Male,0,0,40,1,1
28, Private,13, Never-married,3, White, Male,0,0,55,1,1
26, Private,10, Married-civ-spouse,9, Black, Male,0,0,40,1,0
39, Private,10, Never-married,5, White, Female,0,0,40,1,0
20, Private,10, Never-married,4, White, Male,0,0,15,1,0
25, Private,9, Never-married,5, Black, Female,0,0,40,1,0
48, Private,9, Separated,11, Black, Male,0,0,45,1,0
41, Private,9, Married-civ-spouse,11, White, Male,0,0,40,1,0
20, Private,11, Never-married,5, White, Female,0,0,40,1,0
34, Private,10, Never-married,5, White, Male,0,0,40,1,0
22, Private,13, Never-married,5, White, Female,0,0,40,1,0
23, Private,9, Never-married,1, White, Male,0,0,45,1,0
48, Private,9, Married-civ-spouse,1, White, Male,0,0,50,1,0
22, Private,10, Never-married,11, White, Male,0,0,40,1,0
37, Self-emp-not-inc,9, Married-civ-spouse,8, White, Male,0,0,60,1,0
34, Local-gov,10, Married-civ-spouse,1, White, Male,0,0,40,1,1
48, Private,13, Married-civ-spouse,10, Asian-Pac-Islander, Male,0,0,45,12,1
53, State-gov,14, Married-civ-spouse,1, White, Male,0,0,70,1,1
71, Local-gov,13, Widowed,3, White, Female,0,0,6,1,0
28, Private,9, Married-civ-spouse,11, White, Male,0,0,40,1,0
18, Private,6, Never-married,4, Black, Male,0,0,15,1,0
55, Private,9, Separated,9, White, Male,4865,0,45,1,0
41, Local-gov,13, Married-civ-spouse,3, White, Female,0,1740,20,1,0
29, Private,10, Never-married,10, White, Female,0,0,40,1,0
42, Self-emp-not-inc,13, Married-civ-spouse,8, White, Male,0,0,60,1,1
33, Private,13, Married-civ-spouse,1, White, Male,0,0,40,1,0
32, Private,9, Married-civ-spouse,11, White, Male,3781,0,40,1,0
27, Private,10, Married-civ-spouse,3, White, Male,0,0,88,1,0
46, Federal-gov,10, Married-civ-spouse,1, Black, Male,0,0,40,1,0
30, Private,4, Never-married,11, White, Male,0,0,50,1,0
24, Self-emp-not-inc,13, Never-married,6, White, Male,0,0,40,1,0
31, Self-emp-not-inc,13, Married-civ-spouse,1, White, Female,0,1902,40,1,1
67, Private,13, Married-civ-spouse,12, White, Male,6514,0,7,1,1
49, Private,9, Married-civ-spouse,9, White, Male,0,0,40,1,0
23, Private,9, Never-married,4, Black, Male,0,0,30,1,0
